Timestamp,Gender,Age,Location,Education,Employment status,Monthly income,Married or not,Type of banking account,Starting year ,Types of services,Frequency of usage,Way of withdrawing money,Amount withdrawn,Distance to bank from home,Distance to bank from work place,Rating in terms of cost,Rating in terms of time saving,Rating in terms of time of use,Rating in terms of physical security,Rating in terms of security (electronic)
2020/11/16 10:05:56 AM GMT+5:30,Male,15-29 years old,Hikkaduwa,Advanced Level,Employed – full time [40 + hours a week],"Between 20,000-50,000",No,Savings account,Between 2010-2015,"Bill payment;Fund transfer;Purchasing;Cash withdrawal;Balance inquiry / Bank statement;Investment;Pension fund management;Periodical payments [daily, weekly, monthly, quarterly, yearly, seasonal]",Monthly-several times,ATM machine,Between 1000-5000,Less than 1km,Less than 1km,Very Good,Very Good,Very Good,Good,Good
2020/11/16 10:06:53 AM GMT+5:30,Female,15-29 years old,Kegalle ,Bachelor’s degree,Employed – full time [40 + hours a week],"Between 20,000-50,000",No,Savings account,2020,Bill payment;Fund transfer;Purchasing;Cash withdrawal;Balance inquiry / Bank statement,Monthly-several times,ATM machine,Between 1000-5000,5 to 10 km,1 to 2 km,Average,Very Good,Very Good,Very Good,Good
2020/11/16 10:18:57 AM GMT+5:30,Male,15-29 years old,Galle,Advanced Level,Employed – full time [40 + hours a week],"Above 100,000",No,Savings account,Between 2010-2015,Bill payment;Fund transfer;Purchasing;Balance inquiry / Bank statement,Monthly-several times,ATM machine,Between 1000-5000,Less than 1km,Less than 1km,Very Good,Very Good,Very Good,Very Good,Good
2020/11/16 12:01:26 PM GMT+5:30,Male,15-29 years old,Galle,Diploma/ Higher diploma,Employed – full time [40 + hours a week],"Between 50,000-100,000",Yes,Savings account,Between 2016-2020,"Bill payment;Fund transfer;Purchasing;Balance inquiry / Bank statement;Periodical payments [daily, weekly, monthly, quarterly, yearly, seasonal]",Weekly-several times,ATM machine,Between 1000-5000,1 to 2 km,Less than 1km,Good,Very Good,Very Good,Very Good,Good
2020/11/16 8:17:32 PM GMT+5:30,Male,15-29 years old,Balangoda ,Diploma/ Higher diploma,Employed – full time [40 + hours a week],"Between 50,000-100,000",No,Savings account,Between 2016-2020,Bill payment;Balance inquiry / Bank statement,Weekly-several times,ATM machine,Between 1000-5000,1 to 2 km,1 to 2 km,Average,Good,Good,Average,Average
2020/11/16 11:55:58 PM GMT+5:30,Male,30-44 years old,Maharagama,Bachelor’s degree,Employed – full time [40 + hours a week],"Above 100,000",Yes,Both,Between 2016-2020,Bill payment;Fund transfer;Balance inquiry / Bank statement,Weekly-several times,ATM machine,Between 5000-10000,1 to 2 km,Less than 1km,Average,Very Good,Very Good,Very Good,Good
2020/11/17 7:45:05 AM GMT+5:30,Male,30-44 years old,Negombo ,Master’s degree,Employed – full time [40 + hours a week],"Above 100,000",Yes,Both,Between 2010-2015,"Bill payment;Fund transfer;Purchasing;Cash withdrawal;Balance inquiry / Bank statement;Investment;Pension fund management;Periodical payments [daily, weekly, monthly, quarterly, yearly, seasonal]",Daily-several times,ATM machine,Between 5000-10000,1 to 2 km,1 to 2 km,Very Good,Very Good,Very Good,Very Good,Very Good
2020/11/20 9:42:31 AM GMT+5:30,Male,15-29 years old,Gampaha,Bachelor’s degree,Employed – full time [40 + hours a week],"Between 50,000-100,000",No,Savings account,Between 2016-2020,Bill payment;Fund transfer;Purchasing;Cash withdrawal;Balance inquiry / Bank statement,Weekly-several times,ATM machine,Between 1000-5000,2 to 5 km,1 to 2 km,Average,Very Good,Very Good,Very Good,Good
2020/11/17 1:52:56 PM GMT+5:30,Male,15-29 years old,Gampaha,Bachelor’s degree,Employed – full time [40 + hours a week],"Between 50,000-100,000",No,Savings account,Between 2010-2015,Bill payment;Purchasing;Cash withdrawal,Monthly-several times,ATM machine,Between 1000-5000,2 to 5 km,2 to 5 km,Good,Very Good,Very Good,Very Good,Good
2020/11/17 1:59:01 PM GMT+5:30,Female,15-29 years old,Battaramulla,Bachelor’s degree,Employed – full time [40 + hours a week],"Above 100,000",Yes,Savings account,Between 2016-2020,Fund transfer;Purchasing;Cash withdrawal;Balance inquiry / Bank statement;Investment,Weekly-once,ATM machine,Between 5000-10000,Less than 1km,1 to 2 km,Good,Very Good,Very Good,Very Good,Average
2020/11/17 2:04:12 PM GMT+5:30,Male,15-29 years old,Kottawa,Bachelor’s degree,Employed – full time [40 + hours a week],"Above 100,000",Yes,Savings account,Between 2016-2020,"Bill payment;Fund transfer;Purchasing;Balance inquiry / Bank statement;Periodical payments [daily, weekly, monthly, quarterly, yearly, seasonal]",Weekly-several times,ATM machine,Between 5000-10000,Less than 1km,Less than 1km,Good,Very Good,Very Good,Very Good,Good
2020/11/17 3:06:57 PM GMT+5:30,Male,15-29 years old,Nugegoda,Bachelor’s degree,Employed – full time [40 + hours a week],"Above 100,000",No,Both,Between 2016-2020,Bill payment;Fund transfer;Purchasing;Cash withdrawal;Balance inquiry / Bank statement,Monthly-several times,ATM machine,Between 1000-5000,Less than 1km,Less than 1km,Bad,Very Good,Good,Good,Average
2020/11/17 7:51:15 PM GMT+5:30,Male,15-29 years old,Colombo 6 - Wellawatte,Bachelor’s degree,Employed – full time [40 + hours a week],"Between 20,000-50,000",No,Savings account,Between 2016-2020,Bill payment;Fund transfer;Purchasing;Cash withdrawal;Balance inquiry / Bank statement,Monthly-several times,ATM machine,Between 1000-5000,Less than 1km,Less than 1km,Good,Good,Good,Good,Good
2020/11/17 7:55:07 PM GMT+5:30,Male,30-44 years old,Gampaha,Bachelor’s degree,Employed – full time [40 + hours a week],"Above 100,000",Yes,Both,Between 2010-2015,Bill payment;Fund transfer;Balance inquiry / Bank statement;Investment,Monthly-several times,ATM machine,Between 1000-5000,Less than 1km,Less than 1km,Average,Very Good,Very Good,Average,Average
2020/11/17 8:02:57 PM GMT+5:30,Male,30-44 years old,Wennappuwa ,Diploma/ Higher diploma,Employed – full time [40 + hours a week],"Above 100,000",No,Savings account,Between 2016-2020,Bill payment;Fund transfer;Purchasing;Cash withdrawal,Weekly-several times,ATM machine,Between 1000-5000,2 to 5 km,1 to 2 km,Average,Good,Good,Average,Average
2020/11/17 10:49:16 PM GMT+5:30,Male,15-29 years old,Wellawatta,Bachelor’s degree,Employed – full time [40 + hours a week],"Between 20,000-50,000",No,Savings account,Between 2010-2015,"Bill payment;Purchasing;Cash withdrawal;Balance inquiry / Bank statement;Periodical payments [daily, weekly, monthly, quarterly, yearly, seasonal]",Monthly-several times,ATM machine,Between 1000-5000,Less than 1km,Less than 1km,Very Good,Very Good,Very Good,Good,Average
2020/11/18 5:26:26 AM GMT+5:30,Male,15-29 years old,Gampaha,Bachelor’s degree,Employed – full time [40 + hours a week],"Between 50,000-100,000",No,Savings account,Between 2010-2015,"Bill payment;Fund transfer;Purchasing;Balance inquiry / Bank statement;Periodical payments [daily, weekly, monthly, quarterly, yearly, seasonal]",Weekly-several times,ATM machine,Between 1000-5000,2 to 5 km,1 to 2 km,Average,Very Good,Very Good,Very Good,Good
2020/11/18 11:57:27 AM GMT+5:30,Male,15-29 years old,Wellawatta,Bachelor’s degree,Employed – full time [40 + hours a week],"Between 20,000-50,000",No,Savings account,Between 2010-2015,"Bill payment;Purchasing;Cash withdrawal;Balance inquiry / Bank statement;Periodical payments [daily, weekly, monthly, quarterly, yearly, seasonal]",Monthly-several times,ATM machine,Between 1000-5000,Less than 1km,Less than 1km,Very Good,Very Good,Very Good,Good,Average
